type,_id,city,first_name,last_name,middle_name,loc[0],loc[1],customer_key,gender,age,county,state,street_address,zip_code
 customers,59f307eb1f0d6766995d0ca0,HOWES,Kenny,Butler,Daniel,-102.787188,44.589806,customer_key_25,male,45,MEADE,SD,4750 125TH PL,57748
 customers,59f307eb1f0d6766995d0ca1,JERSEY CITY,Luis,Kirby,Dale,-74.075485,40.73276,customer_key_26,male,33,HUDSON,NJ,4774 COLLEGE PKWY,7097
 customers,59f307eb1f0d6766995d0ca2,LAS VEGAS,Genaro,Bradshaw,Peter,-114.972061,35.927901,customer_key_27,male,21,CLARK,NV,2960 DICKENS BLVD,89116
 customers,59f307eb1f0d6766995d0ca3,CORNWALL,Wiley,Gamble,Samuel,-74.135167,41.348593,customer_key_28,male,36,ORANGE,NY,1105 128TH ST,12518
 customers,59f307eb1f0d6766995d0ca4,BLUFF SPRINGS,Vincenza,Woodard,Mary,-90.352444,39.979614,customer_key_29,female,28,CASS,IL,6009 SCHUBERT AVE,62622
 customers,59f307eb1f0d6766995d0ca5,HOLBROOK,Romeo,Stephens,Michael,-110.089544,34.776828,customer_key_30,male,49,NAVAJO,AZ,1616 PARKER AVE,86025
 customers,59f307eb1f0d6766995d0ca6,ORA,Brain,Mcdowell,Peter,-86.554326,41.175557,customer_key_31,male,43,STARKE,IN,8276 PICARDY PL,46968
 customers,59f307eb1f0d6766995d0ca7,CLAIRE CITY,Bennie,Day,Henry,-96.849416,45.616422,customer_key_32,male,32,ROBERTS,SD,896 DAN RYAN 76TH ST XR,57224
 customers,59f307eb1f0d6766995d0ca8,SIBLEY,Chas,Travis,John,-91.404404,31.470602,customer_key_33,male,82,ADAMS,MS,3878 YATES BLVD,39165
 customers,59f307eb1f0d6766995d0ca9,PUTNEY,Priscila,Coffey,Karen,-72.534025,43.016096,customer_key_34,female,23,WINDHAM,VT,2376 ADAMS ST,5346
 customers,59f307eb1f0d6766995d0caa,WELLSBURG,Kaycee,Bond,Helen,-76.764516,42.027102,customer_key_35,female,32,CHEMUNG,NY,7992 MADISON ST ER,14894
 customers,59f307eb1f0d6766995d0cab,LUFKIN,Reginald,Jimenez,Nathan,-94.508447,31.276467,customer_key_36,male,31,ANGELINA,TX,9172 BEACH AVE,75901
 customers,59f307eb1f0d6766995d0cac,SILVER PLUME,Barton,Patel,Donald,-105.75074,39.699631,customer_key_37,male,82,CLEAR CREEK,CO,5240 BROADWAY,80476
 customers,59f307eb1f0d6766995d0cad,FORESTDALE,Santos,Guzman,Susan,-71.563057,42.000248,customer_key_38,female,41,PROVIDENCE,RI,304 9TH ST,2824
 customers,59f307eb1f0d6766995d0cae,NEW YORK,Vella,Shepard,Mary,-73.977182,40.780751,customer_key_39,female,23,NEW YORK,NY,7478 CARPENTER ST,10274
 customers,59f307eb1f0d6766995d0caf,BROOKLYN,Caroll,Garner,Susan,-89.266547,31.181756,customer_key_40,female,25,FORREST,MS,6990 CENTRAL PARK BLVD,39425
 customers,59f307eb1f0d6766995d0cb0,BERLIN,Shaun,Schroeder,Margaret,-74.92701,39.761231,customer_key_41,female,30,CAMDEN,NJ,1887 25TH ST,8009
 customers,59f307eb1f0d6766995d0cb1,RUTLAND,Elvis,Steele,Mark,-94.305614,42.79315,customer_key_42,male,29,HUMBOLDT,IA,3264 CLEVELAND AVE,50582
 customers,59f307eb1f0d6766995d0cb2,LINCOLN,Long,Rojas,Michael,-96.688799,40.784451,customer_key_43,male,23,LANCASTER,NE,4384 KENNEDY WESTERN AV ER,68583
 customers,59f307eb1f0d6766995d0cb3,ALTA VISTA,Andy,Duncan,Michael,-96.488112,38.864507,customer_key_44,male,27,WABAUNSEE,KS,3102 46TH PL,66834
 customers,59f307eb1f0d6766995d0cb4,WANAKENA,Anton,Wolfe,Richard,-74.912493,44.140791,customer_key_45,male,29,SAINT LAWRENCE,NY,2620 HIGGINS AVE,13695
 customers,59f307eb1f0d6766995d0cb5,NEW ORLEANS,Ellis,Kerr,Benjamin,-89.882564,30.032997,customer_key_46,male,44,ORLEANS,LA,9972 ALDINE AVE,70146
 customers,59f307eb1f0d6766995d0cb6,WELEETKA,Glenn,Doyle,Daniel,-96.077141,35.344476,customer_key_47,male,56,OKFUSKEE,OK,6410 MONTICELLO AVE,74880
 customers,59f307eb1f0d6766995d0cb7,CALDWELL,Chae,Herring,Georgia,-116.717598,43.630795,customer_key_48,female,28,CANYON,ID,4240 DAN RYAN 63RD ST XR,83605
 customers,59f307eb1f0d6766995d0cb8,PICABO,Easter,Simon,Amy,-114.023913,43.298245,customer_key_49,female,40,BLAINE,ID,7316 54TH ST,83348
 customers,59f307eb1f0d6766995d0cb9,PARADISE VALLEY,Vernita,Rice,Dianne,-118.174506,41.263287,customer_key_50,female,50,HUMBOLDT,NV,545 81ST ST,89426
 customers,59f307eb1f0d6766995d0cba,CAPITOL HEIGHTS,Minerva,Rogers,Rebecca,-76.877743,38.833563,customer_key_51,female,43,PRINCE GEORGES,MD,5048 ELLSWORTH DR,20791
 customers,59f307eb1f0d6766995d0cbb,OHLEY,Solomon,Brady,Douglas,-81.554655,38.296818,customer_key_52,male,28,KANAWHA,WV,9362 CALHOUN AVE,25147
 customers,59f307eb1f0d6766995d0cbc,REEDVILLE,Roman,Bowers,Roy,-76.312376,37.855567,customer_key_53,male,76,NORTHUMBERLAND,VA,5785 LAWNDALE AVE,22539
 customers,59f307eb1f0d6766995d0cbd,JOHNSTOWN,Mitchell,Petty,Carl,-74.355438,43.090543,customer_key_54,male,53,FULTON,NY,4882 41ST PL,12095
 customers,59f307eb1f0d6766995d0cbe,VARDAMAN,Roberto,Tapia,Ruby,-89.221899,33.896961,customer_key_55,female,53,CALHOUN,MS,3941 OCTAVIA AVE,38878
 customers,59f307eb1f0d6766995d0cbf,FORT WASHINGTON,Randal,Chase,Michael,-76.977596,38.757114,customer_key_56,male,42,PRINCE GEORGES,MD,7115 BONAPARTE ST,20744
 customers,59f307eb1f0d6766995d0cc0,BRISTOL,Francis,Schneider,Linda,-97.637812,45.319218,customer_key_57,female,55,DAY,SD,8434 DAN RYAN 79TH ST ER,57219
 customers,59f307eb1f0d6766995d0cc1,KAYLOR,Collin,Larsen,Daniel,-97.756924,43.334069,customer_key_58,male,68,HUTCHINSON,SD,4920 WARREN DR,57354
 customers,59f307eb1f0d6766995d0cc2,CRAWFORD,Carmine,Holt,Thomas,-99.682177,35.717616,customer_key_59,male,38,ROGER MILLS,OK,673 CHILDRENS PLZ,73638
 customers,59f307eb1f0d6766995d0cc3,ROSSTON,Brook,Chambers,Kathleen,-93.294126,33.70082,customer_key_60,female,29,NEVADA,AR,814 JAMES M ROCHFORD ST,71858
 customers,59f307eb1f0d6766995d0cc4,STORY,Loraine,Buck,Judy,-106.897795,44.580015,customer_key_61,female,49,SHERIDAN,WY,3160 EDMUNDS ST,82842
 customers,59f307eb1f0d6766995d0cc5,LEIGHTON,Cristi,Kline,Mary,-87.53399,34.677233,customer_key_62,female,41,COLBERT,AL,6658 RIVER WALK,35646
 customers,59f307eb1f0d6766995d0cc6,SAINT PETERSBURG,Jamey,Spencer,Michael,-82.724763,27.891809,customer_key_63,male,25,PINELLAS,FL,8777 AVENUE K,33734
 customers,59f307eb1f0d6766995d0cc7,MILWAUKEE,Dan,Schroeder,Peter,-77.386748,36.363144,customer_key_64,male,27,NORTHAMPTON,NC,7043 KREITER AVE,27854
 customers,59f307eb1f0d6766995d0cc8,BRIDGEVILLE,Albertha,Morris,Laura,-75.330023,38.660295,customer_key_65,female,22,SUSSEX,DE,2597 WINTHROP AVE,19933
 customers,59f307eb1f0d6766995d0cc9,MIDDLETOWN,Audra,Stevenson,Martha,-71.273101,41.519757,customer_key_66,female,28,NEWPORT,RI,5341 POST PL,2842
 customers,59f307eb1f0d6766995d0cca,JACKSONVILLE,Scot,Dennis,Allan,-81.659017,30.325739,customer_key_67,male,47,DUVAL,FL,9584 BEST DR,32276
 customers,59f307eb1f0d6766995d0ccb,NORTH SALEM,Johnson,Casey,David,-73.608451,41.331814,customer_key_68,male,28,WESTCHESTER,NY,6291 KENNEDY MONROE ST XR,10560
 customers,59f307eb1f0d6766995d0ccc,ASPINWALL,Jacquelin,Steele,Maria,-95.135602,41.911924,customer_key_69,female,73,CRAWFORD,IA,1540 KENNEDY NAGLE AV ER,51432
 customers,59f307eb1f0d6766995d0ccd,EASTPORT,Odell,Jacobson,Carl,-67.136853,45.036287,customer_key_70,male,33,WASHINGTON,ME,4037 BALBO DR,4631
 customers,59f307eb1f0d6766995d0cce,NORTH LAS VEGAS,Damien,Cannon,Thomas,-115.15431,36.225271,customer_key_71,male,25,CLARK,NV,7526 53RD DR,89030
 customers,59f307eb1f0d6766995d0ccf,BUFFALO,Rosalind,Mckenzie,Rebecca,-106.561068,44.122611,customer_key_72,female,21,JOHNSON,WY,9756 KENNEDY DIVERSEY AV ER,82834
 customers,59f307eb1f0d6766995d0cd0,WILMINGTON,Shiloh,Wall,Linda,-75.664729,39.735912,customer_key_73,female,29,NEW CASTLE,DE,6142 HOMEWOOD AVE,19808
 customers,59f307eb1f0d6766995d0cd1,BELLEVILLE,Ouida,Crosby,Sandra,-97.601461,39.836218,customer_key_74,female,20,REPUBLIC,KS,6668 ROSE ST,66935
 customers,59f307eb1f0d6766995d0cd2,AMERICUS,Irmgard,Cain,Suzanne,-84.215282,32.040432,customer_key_75,female,45,SUMTER,GA,4657 ESCANABA AVE,31709
 customers,59f307eb1f0d6766995d0cd3,REIDSVILLE,Raeann,Burch,Beth,-79.773094,36.392135,customer_key_76,female,33,ROCKINGHAM,NC,3442 ST PAUL AVE,27323
 customers,59f307eb1f0d6766995d0cd4,EL RITO,Marty,Chan,Paul,-106.198853,36.283096,customer_key_77,male,47,RIO ARRIBA,NM,2557 117TH ST,87530
 customers,59f307eb1f0d6766995d0cd5,LUTHERVILLE TIMONIUM,Fritz,Bartlett,Daniel,-76.592139,39.438964,customer_key_78,male,55,BALTIMORE,MD,2498 LAPORTE AVE,21094
 customers,59f307eb1f0d6766995d0cd6,FARMINGTON,Eulalia,Howard,Betty,-83.348394,42.506468,customer_key_79,female,28,OAKLAND,MI,1495 STAVE ST,48334
 customers,59f307eb1f0d6766995d0cd7,JACKSON,Luis,Tate,Donald,-83.981112,33.319863,customer_key_80,male,32,BUTTS,GA,8612 TAFT AVE,30233
 customers,59f307eb1f0d6766995d0cd8,PENSACOLA,Hyman,Rojas,Mark,-87.275772,30.61428,customer_key_81,male,20,ESCAMBIA,FL,1044 KEATING AVE,32594
 customers,59f307eb1f0d6766995d0cd9,POMFRET CENTER,Antonio,Archer,James,-72.00259,41.863133,customer_key_82,male,53,WINDHAM,CT,1270 HERMIONE ST,6259
 customers,59f307eb1f0d6766995d0cda,CHARLESTON,Cyndy,Bullock,Beth,-81.554655,38.296818,customer_key_83,female,22,KANAWHA,WV,8002 NEW HAMPSHIRE AVE,25396
 customers,59f307eb1f0d6766995d0cdb,EPSOM,Giuseppe,Sullivan,Mark,-71.669712,43.340736,customer_key_84,male,38,MERRIMACK,NH,5250 DE SAIBLE ST,3234
 customers,59f307eb1f0d6766995d0cdc,PLYMOUTH,Kory,Schwartz,Mark,-93.082854,43.234199,customer_key_85,male,21,CERRO GORDO,IA,8554 GRATTEN AVE,50464
 customers,59f307eb1f0d6766995d0cdd,ROCK RIVER,Mckinley,Dickerson,Lee,-105.51461,42.023074,customer_key_86,male,30,ALBANY,WY,2453 EISENHOWER IB KENNEDY OB ER,82083
 customers,59f307eb1f0d6766995d0cde,LORIS,Erica,Hess,Judy,-78.918109,33.977392,customer_key_87,female,54,HORRY,SC,3728 WALNUT ST,29569
 customers,59f307eb1f0d6766995d0cdf,SHAWNEE MISSION,Federico,White,Morgan,-94.740503,38.949007,customer_key_88,male,21,JOHNSON,KS,2503 HOEY ST,66215
 customers,59f307eb1f0d6766995d0ce0,HARWINTON,Cherrie,Velez,Cheryl,-73.176163,41.649639,customer_key_89,female,45,LITCHFIELD,CT,9297 EVERETT DR,6791
 customers,59f307eb1f0d6766995d0ce1,CEDAR RAPIDS,Kristen,Hodges,Judy,-91.657578,41.976612,customer_key_90,female,29,LINN,IA,9775 RIDGEWAY AVE,52401
 customers,59f307eb1f0d6766995d0ce2,TOLLAND,Sylvia,Leach,Dianne,-72.361039,41.882553,customer_key_91,female,32,TOLLAND,CT,9513 COTTAGE GROVE AVE,6084
 customers,59f307eb1f0d6766995d0ce3,ROHNERT PARK,Svetlana,Keith,Judy,-122.989975,38.463088,customer_key_92,female,23,SONOMA,CA,5961 CHICAGO SKYWAY 87TH ST ER,94927
 customers,59f307eb1f0d6766995d0ce4,LOS ALAMOS,Efrain,Le,James,-106.295255,35.863858,customer_key_93,male,37,LOS ALAMOS,NM,8785 102ND PL,87545
 customers,59f307eb1f0d6766995d0ce5,NANAFALIA,Pilar,Villegas,Rose,-87.795275,32.268329,customer_key_94,female,35,MARENGO,AL,7522 LEONARD AVE,36764
 customers,59f307eb1f0d6766995d0ce6,BEEBE,Hung,Anthony,Timothy,-91.808393,35.173395,customer_key_95,male,35,WHITE,AR,1201 CLINTON ST,72012
 customers,59f307eb1f0d6766995d0ce7,WISHEK,Millard,Black,David,-99.613132,46.191724,customer_key_96,male,54,MCINTOSH,ND,5120 93RD ST,58495
 customers,59f307eb1f0d6766995d0ce8,DICKINSON,Terrell,Stein,David,-87.840875,31.58842,customer_key_97,male,57,CLARKE,AL,8852 64TH ST,36436
 customers,59f307eb1f0d6766995d0ce9,KEARNY,Owen,Cline,Mark,-111.064109,33.145984,customer_key_98,male,46,PINAL,AZ,8254 POE ST,85237
 customers,59f307eb1f0d6766995d0cea,HONOLULU,Noble,Saunders,Allan,-157.940731,21.670926,customer_key_99,male,46,HONOLULU,HI,4593 VAN SCHAIK AVE,96825
 customers,59f307eb1f0d6766995d0ceb,MILWAUKEE,Christopher,Cooke,Paul,-87.958409,43.011264,customer_key_100,male,86,MILWAUKEE,WI,5898 88TH PL,53201
 customers,59f307eb1f0d6766995d0cec,JUNEAU,Barbar,Page,Rebecca,-134.58969,58.405657,customer_key_101,female,82,JUNEAU,AK,4914 HALSTED PKWY,99802
 customers,59f307eb1f0d6766995d0ced,LOUISVILLE,Gayle,Vincent,Stephen/Steven,-85.676819,38.188962,customer_key_102,male,31,JEFFERSON,KY,5195 DOUGLAS BLVD,40252
 customers,59f307eb1f0d6766995d0cee,WILLOW GROVE,Suzan,Hanson,Theresa,-75.10897,40.161856,customer_key_103,female,66,MONTGOMERY,PA,7537 MAY ST,19090
 customers,59f307eb1f0d6766995d0cef,FITZHUGH,Kenneth,Norris,Edward,-96.669321,34.735301,customer_key_104,male,51,PONTOTOC,OK,849 DAN RYAN IB STEVENSON ER,74843
 customers,59f307eb1f0d6766995d0cf0,FULLERTON,Inger,Mahoney,Amy,-93.200936,31.111979,customer_key_105,female,40,VERNON,LA,4613 STEVENS AVE,70642
 customers,59f307eb1f0d6766995d0cf1,DARLINGTON,Alec,Hunter,Carl,-76.226377,39.646205,customer_key_106,male,29,HARFORD,MD,8145 FORT DEARBORN,21034
 customers,59f307eb1f0d6766995d0cf2,WISHEK,David,Johnston,Beverly,-99.613132,46.191724,customer_key_107,female,45,MCINTOSH,ND,8925 DR MARTIN LUTHER KING JR DR,58495
 customers,59f307eb1f0d6766995d0cf3,HIGH HILL,Whitney,Patterson,Charles,-91.372292,38.909013,customer_key_108,male,24,MONTGOMERY,MO,4743 SELL CT,63350
 customers,59f307eb1f0d6766995d0cf4,NAPOLEON,Amal,Marquez,Ruby,-99.65682,46.464858,customer_key_109,female,31,LOGAN,ND,9991 MONROE PKWY,58561
 customers,59f307eb1f0d6766995d0cf5,BRIDGEPORT,Darlene,Mccoy,Rose,-87.706902,38.654076,customer_key_110,female,31,LAWRENCE,IL,3555 CLEAVER ST,62417
 customers,59f307eb1f0d6766995d0cf6,LINCOLN,Jerrie,Terrell,Ruth,-75.41087,38.848792,customer_key_111,female,43,SUSSEX,DE,8022 74TH PL,19960
 customers,59f307eb1f0d6766995d0cf7,LITTLE ROCK,Catina,Park,Maria,-92.284832,34.755998,customer_key_112,female,22,PULASKI,AR,8408 WESTGATE TER,72201
 customers,59f307eb1f0d6766995d0cf8,RIVERSIDE,Piedad,Walters,Theresa,-71.349697,41.7743,customer_key_113,female,53,PROVIDENCE,RI,1290 109TH PL,2915
 customers,59f307eb1f0d6766995d0cf9,REBERSBURG,Joana,Lee,Kathleen,-77.448451,40.939915,customer_key_114,female,49,CENTRE,PA,85 LSD WILSON AV ER,16872
 customers,59f307eb1f0d6766995d0cfa,EAST WOODSTOCK,Barrett,Black,Nathan,-71.981045,41.984327,customer_key_115,male,20,WINDHAM,CT,3428 HERMOSA AVE,6244
 customers,59f307eb1f0d6766995d0cfb,HUNTINGTON,Angie,Lowe,Judy,-82.277401,38.413384,customer_key_116,female,33,CABELL,WV,7401 52ND PL,25774
 customers,59f307eb1f0d6766995d0cfc,SMYRNA,Scarlett,Mclaughlin,Laura,-75.565131,39.194026,customer_key_117,female,47,KENT,DE,8447 OLCOTT AVE,19977
 customers,59f307eb1f0d6766995d0cfd,PIQUA,Greg,Murray,Scott,-95.56937,37.914531,customer_key_118,male,74,WOODSON,KS,3035 131ST PL,66761
 customers,59f307eb1f0d6766995d0cfe,FOSTER,Willow,Shea,Maryann,-71.70644,41.790569,customer_key_119,female,31,PROVIDENCE,RI,5766 GROVE ST,2825
 customers,59f307eb1f0d6766995d0cff,GREENSBORO,Eliseo,Weaver,Gary,-72.286556,44.600325,customer_key_120,male,21,ORLEANS,VT,2495 FRANKLIN BLVD,5841
 customers,59f307eb1f0d6766995d0d00,SHREVEPORT,Alfonso,Monroe,Christopher,-93.75256,32.607556,customer_key_121,male,32,CADDO,LA,40 EISENHOWER MORGAN ST XR,71138
 customers,59f307eb1f0d6766995d0d01,WALTERS,Coralie,Schneider,Kathleen,-98.319264,34.321541,customer_key_122,female,54,COTTON,OK,4324 AVONDALE AVE,73572
 customers,59f307eb1f0d6766995d0d02,M C B H KANEOHE BAY,Glory,Mcclain,Maryann,-168.021815,24.859832,customer_key_123,female,32,HONOLULU,HI,2206 GARFIELD BLVD,96863
 customers,59f307eb1f0d6766995d0d03,DILL CITY,Gabriel,Gordon,Morgan,-99.150331,35.224845,customer_key_124,male,21,WASHITA,OK,1106 84TH ST,73641
 customers,59f307eb1f0d6766995d0d04,NEW CASTLE,Kendall,Kemp,Gary,-75.651466,39.592895,customer_key_125,male,48,NEW CASTLE,DE,8439 64TH ST,19720
 customers,59f307eb1f0d6766995d0d05,NORTH MYRTLE BEACH,Caleb,Rollins,Morgan,-78.971795,33.785803,customer_key_126,male,45,HORRY,SC,8053 INDEPENDENCE SQ,29597
 customers,59f307eb1f0d6766995d0d06,CASSVILLE,Rosalia,Hutchinson,Sandra,-78.022032,40.285076,customer_key_127,female,34,HUNTINGDON,PA,2228 MILTIMORE AVE,16623
 customers,59f307eb1f0d6766995d0d07,TURIN,Lyndsay,Rodgers,Linda,-84.637108,33.32603,customer_key_128,female,26,COWETA,GA,2340 EMMETT ST,30289
 customers,59f307eb1f0d6766995d0d08,ASTATULA,Waylon,Gibson,Samuel,-81.718455,28.706723,customer_key_129,male,44,LAKE,FL,4320 DAN RYAN EXPRESS EXPY,34705
 customers,59f307eb1f0d6766995d0d09,CINEBAR,Tonette,Duffy,Maria,-122.568709,46.579292,customer_key_130,female,32,LEWIS,WA,5661 57TH ST,98533
 customers,59f307eb1f0d6766995d0d0a,KERMIT,Mikel,Friedman,Richard,-82.404906,37.827155,customer_key_131,male,48,MINGO,WV,6294 LAMBERT AVE,25674
 customers,59f307eb1f0d6766995d0d0b,RICHBURG,Arnoldo,Dunn,Howard,-81.003877,34.692493,customer_key_132,male,45,CHESTER,SC,991 DAN RYAN 59TH ST XR,29729
 customers,59f307eb1f0d6766995d0d0c,MUTUAL,Joycelyn,Swanson,Martha,-99.280828,36.490567,customer_key_133,female,48,WOODWARD,OK,9756 DEAN ST,73853
 customers,59f307eb1f0d6766995d0d0d,RURAL RETREAT,Milly,Lang,Alice,-81.25526,36.880988,customer_key_134,female,22,WYTHE,VA,8406 COLES AVE,24368
 customers,59f307eb1f0d6766995d0d0e,NORFOLK,Leroy,Novak,Thomas,-76.212909,36.887433,customer_key_135,male,38,NORFOLK CITY,VA,5532 126TH PL,23502
 customers,59f307eb1f0d6766995d0d0f,ADAMSVILLE,Alisha,Bray,Theresa,-86.987228,33.578097,customer_key_136,female,33,JEFFERSON,AL,8631 PONTIAC AVE,35005
 customers,59f307eb1f0d6766995d0d10,BLOOMFIELD,Walter,Nguyen,Andrew,-72.738939,41.851961,customer_key_137,male,29,HARTFORD,CT,409 JARVIS AVE,6002
 customers,59f307eb1f0d6766995d0d11,FAY,Mariko,Pratt,Georgia,-99.007165,35.988409,customer_key_138,female,39,DEWEY,OK,8436 126TH PL,73646
 customers,59f307eb1f0d6766995d0d12,FLOYD DALE,Logan,Meza,Charles,-79.352291,34.425629,customer_key_139,male,59,DILLON,SC,414 MOZART ST,29542
 customers,59f307eb1f0d6766995d0d13,DUSTIN,Refugio,Gamble,Philip,-96.033734,35.270328,customer_key_140,male,20,HUGHES,OK,3951 TOM PKWY,74839
 customers,59f307eb1f0d6766995d0d14,PERRYVILLE,Nilsa,Forbes,Beth,-92.786535,35.025904,customer_key_141,female,32,PERRY,AR,2934 37TH PL,72126
 customers,59f307eb1f0d6766995d0d15,SHELBY,Alphonse,Flowers,David,-86.550392,33.080188,customer_key_142,male,26,SHELBY,AL,1452 OGDEN AVE,35143
 customers,59f307eb1f0d6766995d0d16,WARREN,Floretta,Sanders,Theresa,-83.056988,42.513435,customer_key_143,female,39,MACOMB,MI,8544 WALLACE ST,48092
 customers,59f307eb1f0d6766995d0d17,ROCKVALE,Laurence,Hendricks,Billy,-105.22114,38.336184,customer_key_144,male,20,FREMONT,CO,2119 70TH ST,81244
 customers,59f307eb1f0d6766995d0d18,LYMAN,Naida,Odom,Betty,-103.974153,41.835492,customer_key_145,female,30,SCOTTS BLUFF,NE,194 JAMES M ROCHFORD ST,69352
 customers,59f307eb1f0d6766995d0d19,CAROGA LAKE,Byron,Sheppard,Michael,-74.494888,43.15566,customer_key_146,male,23,FULTON,NY,2848 DAN RYAN CERMAK XR,12032
 customers,59f307eb1f0d6766995d0d1a,HORSE CREEK,Luis,Young,Theresa,-105.141679,41.435318,customer_key_147,female,26,LARAMIE,WY,1846 71ST PL,82061
 customers,59f307eb1f0d6766995d0d1b,RIDGELY,Keshia,White,Laura,-75.861191,38.88927,customer_key_148,female,38,CAROLINE,MD,6243 OB NORTHWEST TOLL,21682
 customers,59f307eb1f0d6766995d0d1c,FAIRFIELD,Fay,Wright,Judith,-73.252696,41.219093,customer_key_149,female,36,FAIRFIELD,CT,761 ARMSTRONG RD,6431
 customers,59f307eb1f0d6766995d0d1d,PHOENIX,Shon,Porter,Thomas,-112.18717,33.276539,customer_key_150,male,40,MARICOPA,AZ,7285 LEAVITT ST,85022
